1 6 41025 41120
1 15 41028 41120
1 11 41048 41121
4 12 40869 41670
4 17 40869 40948
4 9 40869 41712
4 22 40869 41322
4 1 40869 41697
4 15 40869 41654
4 6 40881 41267
4 10 40904 41666
4 13 40939 41700
4 11 40947 41664
4 7 41176 41647
4 17 379642 380915
4 15 379654 380927
4 15 483442 483905
4 15 489838 491120
4 12 489906 490729
4 8 489928 491219
4 20 490288 491133
4 7 1012448 1014103
4 15 1012453 1014111
4 17 1088891 1090950
4 12 1088939 1091000
4 1 1088966 1091027
4 15 1694093 1696607
4 12 1694970 1696637
4 1 1694998 1696666
4 20 2190224 2193166
4 8 2190700 2193215
4 12 2305293 2306552
6 9 40869 41025
6 7 40869 41026
6 22 40869 41026
6 12 52679 58826
6 11 302591 303369
6 12 469800 470194
7 6 40830 40863
7 12 40831 40863
7 10 40834 40866
7 22 40835 40863
7 15 40837 40864
7 4 40839 40863
7 13 40840 40865
8 20 489368 493032
8 12 489511 491374
8 4 489513 491018
8 17 1099076 1104215
8 4 1099087 1101778
8 20 2190292 2195392
8 4 2190631 2195734
9 15 1765921 1766698
9 15 1768299 1769947
10 12 40822 41065
10 7 40825 41446
10 6 40827 41173
10 22 40834 41116
10 15 40843 41145
10 4 40843 41072
10 13 40844 41539
10 9 40859 41115
10 17 40863 40985
10 11 41003 41553
10 6 573208 573582
10 11 573241 574369
10 11 918951 920079
10 12 918961 920089
10 12 2717801 2719689
11 15 41636 41887
11 13 41910 42583
11 9 41921 42327
11 12 42304 42571
11 6 42495 42542
11 12 294890 296054
11 12 384055 387480
11 12 388434 388916
11 13 408896 412061
11 6 566595 567787
11 6 572197 573696
11 10 572921 575597
11 12 645593 646763
11 14 648741 648761
11 12 649081 649530
11 13 649113 649574
11 12 651027 654897
11 13 651083 652399
11 13 653781 654910
11 12 910976 911376
11 12 913401 915008
11 12 1006617 1012440
11 13 1013327 1014528
11 13 1015729 1016533
11 12 2369538 2373492
11 12 2376414 2377222
12 7 41544 41891
12 15 41545 41893
12 11 41554 43022
12 10 41559 41910
12 1 41563 41915
12 13 41565 49485
12 9 41926 42302
12 6 42623 42997
12 6 52502 54385
12 6 54945 59279
12 11 294635 297360
12 22 305593 306065
12 5 305774 306159
12 11 316957 318998
12 11 383915 387764
12 11 388387 388922
12 11 393484 393871
12 6 469763 470160
12 11 569288 571301
12 6 569666 571277
12 11 645301 649481
12 13 648601 649010
12 13 650632 655275
12 11 651439 654825
12 11 910706 911541
12 11 913646 919930
12 10 918684 921612
12 11 1006360 1012240
12 17 1088743 1097341
12 1 1088803 1097404
12 4 1088825 1097426
12 5 1513100 1518545
12 1 1692721 1698112
12 15 1695167 1698073
12 4 1695232 1698136
12 15 1765244 1769979
12 4 2197992 2199289
12 4 2201029 2201872
12 9 2369288 2369706
12 11 2369645 2377182
12 10 2717580 2719674
12 13 2801669 2804603
12 11 2813850 2821796
12 13 2813884 2821832
12 1 2906563 2908285
13 22 40841 41019
13 10 40841 41353
13 12 40842 41355
13 4 40842 41360
13 15 40842 41339
13 6 40843 41338
13 7 40843 41337
13 9 40860 41022
13 17 40863 41018
13 11 40992 41351
13 1 41006 41359
13 12 46843 47248
13 11 408653 412317
13 12 648387 650196
13 11 648537 649861
13 14 648554 648724
13 11 1013067 1016634
13 11 1019373 1020773
13 12 2801594 2804357
13 11 2807970 2816335
13 12 2813890 2816736
13 12 2818067 2820782
13 11 2819168 2820775
14 12 649078 653019
14 13 649166 653210
14 11 649278 653203
15 17 375943 377462
15 4 483255 484400
15 8 488937 489329
15 12 489837 489916
15 4 489858 489933
15 7 1012654 1014085
15 4 1012752 1014132
15 17 1098660 1100947
15 1 1098707 1100994
15 4 1098713 1101001
15 1 1501721 1503264
15 17 1617950 1620644
15 4 1694285 1694672
15 12 1765458 1767384
15 9 1765486 1767415
16 15 41786 42227
16 15 41786 42227
16 11 41794 41889
16 11 41794 41889
16 17 376301 379047
16 15 376312 379058
16 17 380396 381067
16 15 380407 381080
16 4 380445 381117
16 17 382863 388328
16 15 386673 393687
16 1 408386 409510
16 15 485978 489587
16 4 486016 489623
16 8 489034 489492
16 15 980536 986047
16 15 994268 997409
16 15 999123 999748
16 15 1013959 1017974
16 4 1013998 1016638
16 15 1597962 1598390
16 15 1599945 1601323
16 17 1617743 1618118
16 15 1617754 1618130
16 17 1621813 1623158
16 15 1621827 1623172
16 4 2190085 2190852
16 4 2193895 2195428
16 15 2803697 2806367
16 1 2907965 2908352
16 12 2909498 2911415
17 4 299543 299935
20 12 489867 491362
20 8 489869 491702
20 4 490196 490962
20 4 1014254 1014596
20 4 2190187 2191540
20 8 2190195 2191546
22 11 41122 41134
22 15 41122 41134
22 6 41122 41135
22 9 41122 41136
22 5 305830 306060
22 12 305831 309601
